study,site_id,country,region,priority,subject_count,high_risk_count,avg_dqi_score,top_issue,top_recommendation,ai_insight
Study_16,Site 653,ESP,EMEA,HIGH,4,1,0.208,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 955,CAN,AMERICA,HIGH,17,8,0.206,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 735,CHN,ASIA,HIGH,6,4,0.206,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 772,ISR,EMEA,HIGH,2,1,0.205,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 16,CAN,AMERICA,HIGH,2,0,0.204,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 191,JPN,ASIA,HIGH,2,1,0.203,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 632,GRC,EMEA,HIGH,3,1,0.203,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 626,CAN,AMERICA,HIGH,1,0,0.203,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 657,ITA,EMEA,HIGH,7,3,0.203,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 594,USA,AMERICA,HIGH,2,1,0.202,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 469,TWN,ASIA,HIGH,2,0,0.201,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 17,CHN,ASIA,HIGH,3,1,0.2,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 746,CHN,ASIA,HIGH,3,2,0.2,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 22,USA,AMERICA,HIGH,1,0,0.197,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 667,GBR,EMEA,HIGH,3,1,0.196,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 880,DEU,EMEA,HIGH,12,4,0.196,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2172,TUR,EMEA,HIGH,3,1,0.195,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 606,USA,AMERICA,HIGH,6,3,0.195,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 423,CHN,ASIA,HIGH,7,4,0.194,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 468,AUS,ASIA,HIGH,6,0,0.193,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1034,USA,AMERICA,HIGH,8,4,0.193,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 452,USA,AMERICA,HIGH,1,0,0.193,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1037,USA,AMERICA,HIGH,2,1,0.193,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1287,USA,AMERICA,HIGH,2,0,0.193,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 650,ESP,EMEA,HIGH,2,0,0.192,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 429,GBR,EMEA,HIGH,2,1,0.192,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 758,TUR,EMEA,HIGH,2,1,0.19,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 463,JPN,ASIA,HIGH,4,1,0.19,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 740,CHN,ASIA,HIGH,7,4,0.189,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 520,DEU,EMEA,HIGH,5,2,0.188,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 179,USA,AMERICA,HIGH,4,2,0.188,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 708,JPN,ASIA,HIGH,6,3,0.187,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 780,SGP,ASIA,HIGH,10,4,0.187,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 79,CHN,ASIA,HIGH,1,0,0.185,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 178,USA,AMERICA,HIGH,5,0,0.184,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 9,FRA,EMEA,HIGH,2,0,0.183,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 691,MYS,ASIA,HIGH,6,2,0.183,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 751,CHN,ASIA,HIGH,2,1,0.183,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 417,KOR,ASIA,HIGH,1,0,0.182,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 722,KOR,ASIA,HIGH,3,1,0.181,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 686,BRA,AMERICA,HIGH,8,2,0.18,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 425,CHN,ASIA,HIGH,1,0,0.179,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 462,JPN,ASIA,HIGH,2,0,0.179,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 281,DEU,EMEA,HIGH,23,7,0.178,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1018,USA,AMERICA,HIGH,4,1,0.178,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 729,TWN,ASIA,HIGH,5,1,0.177,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 507,ITA,EMEA,HIGH,2,1,0.177,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 277,FRA,EMEA,HIGH,11,3,0.177,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2187,DEU,EMEA,HIGH,7,2,0.177,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 952,CAN,AMERICA,HIGH,6,3,0.176,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 9,FRA,EMEA,HIGH,2,0,0.174,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 765,IND,ASIA,HIGH,9,1,0.174,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 776,CHE,EMEA,HIGH,3,0,0.173,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 87,AUS,ASIA,HIGH,1,0,0.173,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 631,GRC,EMEA,HIGH,1,0,0.172,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2174,TUR,EMEA,HIGH,2,0,0.172,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 343,USA,AMERICA,HIGH,2,0,0.172,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 781,USA,AMERICA,HIGH,1,0,0.172,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 766,IND,ASIA,HIGH,4,0,0.171,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 281,DEU,EMEA,HIGH,3,1,0.171,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 734,CHN,ASIA,HIGH,3,0,0.171,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 727,TWN,ASIA,HIGH,5,2,0.171,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 421,CHN,ASIA,HIGH,2,0,0.17,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 525,ISR,EMEA,HIGH,4,0,0.17,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 322,CAN,AMERICA,HIGH,11,2,0.17,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 655,HRV,EMEA,HIGH,1,0,0.17,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 198,JPN,ASIA,HIGH,4,1,0.17,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 40,USA,AMERICA,HIGH,3,1,0.17,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2166,KOR,ASIA,HIGH,4,0,0.169,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 19,USA,AMERICA,HIGH,2,1,0.169,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 762,IND,ASIA,HIGH,3,0,0.169,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 724,KOR,ASIA,HIGH,3,0,0.168,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2182,TUR,EMEA,HIGH,3,0,0.168,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 353,SGP,ASIA,HIGH,5,1,0.167,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 404,DEU,EMEA,HIGH,2,0,0.167,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 683,ARG,AMERICA,HIGH,2,0,0.166,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 876,DEU,EMEA,HIGH,6,1,0.165,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 665,GBR,EMEA,HIGH,1,0,0.165,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 2,CAN,AMERICA,HIGH,2,1,0.165,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 361,CZE,EMEA,HIGH,4,1,0.165,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 644,FRA,EMEA,HIGH,2,1,0.164,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 589,ISR,EMEA,HIGH,2,0,0.164,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 704,JPN,ASIA,HIGH,1,0,0.164,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 963,CAN,AMERICA,HIGH,17,4,0.164,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 712,JPN,ASIA,HIGH,4,0,0.164,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 785,USA,AMERICA,HIGH,1,0,0.164,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 180,USA,AMERICA,HIGH,2,0,0.163,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 643,FRA,EMEA,HIGH,2,0,0.163,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 707,JPN,ASIA,HIGH,2,0,0.161,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 749,CHN,ASIA,HIGH,1,0,0.161,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 721,KOR,ASIA,HIGH,3,1,0.161,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2185,CHN,ASIA,HIGH,7,2,0.161,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 783,USA,AMERICA,HIGH,2,1,0.161,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 356,JPN,ASIA,HIGH,1,0,0.16,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_25,Site 31,ARG,AMERICA,HIGH,1,0,0.16,lab_issues_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2173,TUR,EMEA,HIGH,4,0,0.16,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1674,TWN,ASIA,HIGH,10,1,0.159,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 308,GBR,EMEA,HIGH,1,0,0.159,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 153,ITA,EMEA,HIGH,1,0,0.158,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 755,CHN,ASIA,HIGH,2,1,0.157,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 53,KOR,ASIA,HIGH,8,0,0.157,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 128,NLD,EMEA,HIGH,3,1,0.157,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1343,HRV,EMEA,HIGH,1,0,0.157,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 24,USA,AMERICA,HIGH,1,0,0.157,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1913,GBR,EMEA,HIGH,1,0,0.157,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 286,DEU,EMEA,HIGH,8,0,0.156,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 525,ARG,AMERICA,HIGH,1,0,0.156,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 521,DEU,EMEA,HIGH,6,1,0.155,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 756,CHN,ASIA,HIGH,3,1,0.154,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 768,IND,ASIA,HIGH,7,1,0.154,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 312,CHE,EMEA,HIGH,2,1,0.153,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 680,ARG,AMERICA,HIGH,7,1,0.152,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 283,DEU,EMEA,HIGH,2,0,0.152,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1646,IND,ASIA,HIGH,3,0,0.151,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 700,AUS,ASIA,HIGH,3,0,0.151,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 316,ARG,AMERICA,HIGH,6,0,0.151,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2161,TUR,EMEA,HIGH,4,0,0.15,lab_issues_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 622,USA,AMERICA,HIGH,3,0,0.15,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 48,KOR,ASIA,HIGH,17,2,0.15,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 315,ARG,AMERICA,HIGH,3,0,0.149,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 536,USA,AMERICA,HIGH,8,2,0.148,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 52,KOR,ASIA,HIGH,34,4,0.148,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 155,GBR,EMEA,HIGH,1,0,0.148,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 784,USA,AMERICA,HIGH,2,0,0.147,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 713,JPN,ASIA,HIGH,2,0,0.147,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1648,IND,ASIA,HIGH,7,1,0.146,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 338,USA,AMERICA,HIGH,11,3,0.145,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 703,JPN,ASIA,HIGH,5,0,0.145,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 415,ITA,EMEA,HIGH,7,0,0.144,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 673,DEU,EMEA,HIGH,2,0,0.144,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 747,CHN,ASIA,HIGH,4,0,0.144,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 466,AUS,ASIA,HIGH,2,0,0.143,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 501,DEU,EMEA,HIGH,5,0,0.143,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 342,USA,AMERICA,HIGH,1,0,0.143,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 259,AUS,ASIA,HIGH,1,0,0.142,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 730,TWN,ASIA,HIGH,2,0,0.142,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 336,USA,AMERICA,HIGH,5,1,0.142,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 763,IND,ASIA,HIGH,2,0,0.142,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 506,CHN,ASIA,HIGH,5,0,0.142,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 736,CHN,ASIA,HIGH,7,1,0.142,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 699,AUS,ASIA,HIGH,7,2,0.141,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 610,USA,AMERICA,HIGH,7,0,0.14,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 408,GRC,EMEA,HIGH,6,1,0.14,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 327,USA,AMERICA,HIGH,8,0,0.139,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 717,JPN,ASIA,HIGH,3,1,0.139,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 340,USA,AMERICA,HIGH,6,1,0.139,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 375,FRA,EMEA,HIGH,15,4,0.139,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 280,DEU,EMEA,HIGH,6,1,0.137,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 598,DEU,EMEA,HIGH,1,0,0.137,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 109,USA,AMERICA,HIGH,2,0,0.136,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 737,CHN,ASIA,HIGH,7,0,0.136,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 685,BRA,AMERICA,HIGH,11,2,0.135,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 305,ESP,EMEA,HIGH,4,0,0.135,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 417,ITA,EMEA,HIGH,4,1,0.135,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 778,ISR,EMEA,HIGH,3,0,0.134,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 748,CHN,ASIA,HIGH,5,1,0.134,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1675,TWN,ASIA,HIGH,7,1,0.133,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 777,DEU,EMEA,HIGH,3,0,0.133,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 468,USA,AMERICA,HIGH,1,0,0.133,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 8,CZE,EMEA,HIGH,1,0,0.133,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 320,CAN,AMERICA,HIGH,5,2,0.133,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 95,TWN,ASIA,HIGH,1,0,0.133,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 125,KOR,ASIA,HIGH,1,0,0.132,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 290,ISR,EMEA,HIGH,8,1,0.132,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 436,MYS,ASIA,HIGH,8,1,0.132,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2013,USA,AMERICA,HIGH,6,2,0.132,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 503,CHN,ASIA,HIGH,4,0,0.131,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1673,TWN,ASIA,HIGH,5,1,0.131,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 624,CAN,AMERICA,HIGH,11,1,0.13,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 731,TWN,ASIA,HIGH,4,0,0.13,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1846,PRT,EMEA,HIGH,2,0,0.13,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 401,DEU,EMEA,HIGH,6,1,0.13,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 733,TWN,ASIA,HIGH,5,1,0.129,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 353,SGP,ASIA,HIGH,2,0,0.129,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 301,ESP,EMEA,HIGH,3,1,0.128,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 426,CHN,ASIA,HIGH,8,1,0.128,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 348,CHN,ASIA,HIGH,4,0,0.127,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 588,ISR,EMEA,HIGH,1,0,0.127,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 476,DNK,EMEA,HIGH,2,1,0.126,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 328,USA,AMERICA,HIGH,2,0,0.126,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 499,DEU,EMEA,HIGH,3,0,0.126,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 420,CHN,ASIA,HIGH,6,0,0.126,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 410,GRC,EMEA,HIGH,4,0,0.126,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 25,JPN,ASIA,HIGH,7,2,0.126,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 2046,USA,AMERICA,HIGH,14,4,0.124,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2175,TUR,EMEA,HIGH,3,1,0.124,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 28,ARG,AMERICA,HIGH,5,0,0.124,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 687,BRA,AMERICA,HIGH,6,1,0.124,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 193,JPN,ASIA,HIGH,3,0,0.124,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 389,DEU,EMEA,HIGH,5,1,0.123,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 3,FRA,EMEA,HIGH,3,0,0.123,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 391,DEU,EMEA,HIGH,2,1,0.123,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 752,CHN,ASIA,HIGH,2,0,0.123,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 373,FRA,EMEA,HIGH,5,0,0.123,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 414,ITA,EMEA,HIGH,4,0,0.123,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 87,AUS,ASIA,HIGH,1,0,0.122,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1961,BRA,AMERICA,HIGH,2,0,0.122,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 365,FRA,EMEA,HIGH,16,2,0.122,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 507,CHN,ASIA,HIGH,6,2,0.122,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 512,FRA,EMEA,HIGH,2,0,0.121,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 388,DEU,EMEA,HIGH,1,0,0.121,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1794,ROU,EMEA,HIGH,2,0,0.121,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 954,CAN,AMERICA,HIGH,2,0,0.121,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_2,Site 36,CHN,ASIA,HIGH,3,0,0.121,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1184,USA,AMERICA,HIGH,2,0,0.12,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 387,DEU,EMEA,HIGH,2,0,0.12,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 318,ZAF,EMEA,HIGH,6,0,0.12,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 402,DEU,EMEA,HIGH,4,0,0.12,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 327,USA,AMERICA,HIGH,4,0,0.12,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 773,ISR,EMEA,HIGH,5,1,0.119,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 403,DEU,EMEA,HIGH,2,0,0.119,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 337,USA,AMERICA,HIGH,5,1,0.119,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1645,IND,ASIA,HIGH,2,0,0.119,lab_issues_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 333,USA,AMERICA,HIGH,10,2,0.119,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 148,TWN,ASIA,HIGH,2,0,0.118,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 164,CHN,ASIA,HIGH,2,0,0.118,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 431,GBR,EMEA,HIGH,3,0,0.117,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 428,CHE,EMEA,HIGH,4,0,0.117,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 448,IND,ASIA,HIGH,3,0,0.116,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2167,KOR,ASIA,HIGH,8,0,0.116,lab_issues_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2169,KOR,ASIA,HIGH,12,2,0.116,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 326,USA,AMERICA,HIGH,12,1,0.116,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 469,ISR,EMEA,HIGH,9,0,0.116,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 383,DEU,EMEA,HIGH,2,0,0.115,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 444,TUR,EMEA,HIGH,2,0,0.115,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1,AUS,ASIA,HIGH,4,1,0.115,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 371,FRA,EMEA,HIGH,3,0,0.115,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 376,FRA,EMEA,HIGH,11,1,0.115,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 744,CHN,ASIA,HIGH,1,0,0.114,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 716,JPN,ASIA,HIGH,1,0,0.114,missing_pages_count,Schedule urgent site quality call within 48 hours,
